,l,l*p,l*p+r,l*r,l*r*p,l*r+p,l+p,l+r,l+r*p,l+r+p,p,p*r,p+r,r
156,-1782.2126291017996,-2005.0965724162884,-1191.5638750137027,-536.4903307465536,-2168.518554713208,-861.9359564918377,-1540.416660114984,-413.5245599247769,-378.958020636902,-1281.1679579347394,-1780.2483062601054,-770.8255375079837,-945.1708295178921,-529.951947671542
157,-1136.6953862314833,-290.4180297632763,-195.16110674063248,-1230.9231823946334,-2034.0442953928905,-2034.0465227302088,-624.9103150609538,232.22211329664748,319.3532051330806,221.7583549565021,-1108.4276828030456,291.25783085692547,2.971403609903007,207.5013275572635
158,-1346.812343884625,-1346.973888002072,-4243.139575486488,-249.76169686575383,-241.4786826043079,-902.5036895855363,-1211.5144459886797,15.761759825103297,160.56327109468353,70.52098724048136,-895.9579193129832,134.9566658246109,72.7206490076382,15.467114483543469
159,-2182.532453152049,-2601.2551361841233,-2361.4391230962547,-1004.491486048073,-941.1499922994636,-1001.6416240160198,-2068.4006740924683,-807.1458258632623,-691.3779504384215,-2064.7567140659908,-2368.3036425265054,-1090.831183360843,-858.5334430226585,-1037.3865458773232
16,-746.1455751330531,-746.1450518083822,-748.2989726275986,16.333875740956003,20.673694919624722,897.714105811038,1014.8580064265902,1014.889562531297,1087.001582473746,69.74691491136738,-902.0700635561311,1048.3416080729103,968.5823252822479,921.3258392655848
160,-1185.180809134048,-1160.9591932391224,-1168.1645687253472,-282.9218759000215,-269.23126644075506,-1086.9955900561695,-1086.1860342825244,105.47213499582517,190.74794344261903,-964.0847123731477,-1087.313851441935,190.49280409440755,-1101.6176180441673,92.3322940046377
161,-729.4323406707313,-522.845264689467,1244.3079658220788,922.1687856331376,32.665702355806474,-963.2916958439716,-105.9485757119784,1244.3079968846566,1271.0607003400446,-227.60912791494175,-967.7278309952042,91.1037874056855,1207.7631130586917,1196.6294386781065
162,-1973.039778612084,-1973.0368847006905,-1408.5069961874372,-252.81669986965574,-203.58878332589325,-252.81669763551207,-1497.8827607211053,-29.67405273216292,-396.642543142613,-6.328945455646107,-1687.9783915465669,-507.2523863560324,-3.8919937011866352,-50.69547052511231
163,-1055.9394831130503,-1055.9400034858186,-107.960630645652,-109.3187154970065,-88.69139497694275,-471.28394233074016,-5571.548021980798,411.92823957150966,489.56815603670987,-34.243902336862604,-477.68767240405805,470.5886820943425,504.3348612884786,384.81609060811087
164,-1200.2393344841375,-1226.1952855521138,-860.7902933443669,-95.47514042516762,-2037.3634489014848,-770.0872771567626,-265.8524207457589,623.7809296157164,650.2082844037258,814.5605757369401,-765.9998646976394,790.0106843183405,796.2175194853415,627.3819507405049
