,kernel,lml
573,l+r+p,-174.03800623696222
574,p*r,160.78093112158953
575,l+r*p,150.92574760057786
576,l+r+p,-63.25212935457927
577,p*r,153.60792000584433
578,p*r,191.11954934591756
579,l+r+p,-156.65014191881966
58,l+r+p,186.16156880628557
580,l+r+p,214.74553550054642
581,l+r*p,189.83783087899212
582,l+r+p,42.47738033409387
583,p*r,212.25408513014443
584,l+r*p,197.9430031685411
585,l+r,-91.86129328432432
586,l+r+p,227.13541564957958
587,l+r+p,194.23882714103857
588,p+r,22.697408566825025
589,l+r*p,182.4779992302812
59,l+r*p,157.99422133820116
590,l*r+p,145.56254419755825
591,l+p,-204.43213689397498
592,l+r*p,175.8852470532109
593,l+r+p,184.79744189369234
594,l+r,-28.593134663456272
595,l+r*p,138.90762567157552
596,p*r,110.67461720578916
597,l+r+p,-107.20942332738613
598,l+r*p,183.48146180447128
599,l+r*p,160.9614714278141
6,p+r,-18.647436135269224
60,l+r+p,-20.948036865917388
600,p+r,-8.136035024878183
601,p*r,182.9483029968572
602,p*r,115.30437885510842
603,p*r,-104.87302932065612
604,p*r,169.4838028610339
605,p*r,174.3780085297257
606,l+r,-31.233914401682288
607,l+r*p,230.53034060279285
608,p*r,106.75726260485091
609,l+r*p,-145.17717171954453
61,l+r*p,168.5743345213899
610,l+r+p,158.77596119925076
611,l+r+p,229.13243772411562
612,l+r,9.448488233607026
613,p*r,182.2941523449464
614,l+r*p,111.17847701344928
615,p*r,-189.95963526680023
616,p*r,174.1423938268968
617,l+r+p,187.069764832104
618,p+r,-4.314549832308984
619,l+r*p,167.97554306997964
62,p*r,102.88940384653615
620,p*r,131.8131634102465
621,l+r+p,-185.7577094033555
622,l+r*p,158.68010175332319
623,p*r,170.32936696714575
624,l+r,-23.009628838278378
625,p*r,149.7381165005917
626,l+r*p,133.54141422477485
627,l+r+p,-124.28660945416198
628,p*r,138.092525926976
629,l+r*p,169.56733361518621
63,l+r+p,-113.87987198549922
630,p+r,-9.765255771059245
631,l+r*p,171.11043604399268
632,p*r,132.3237034408181
633,p+r,-114.9341962808512
634,l+r*p,178.5196846545094
635,p*r,173.89751160256415
636,l+r+p,-8.512787663930297
637,l+r+p,155.61757977656978
638,l+r*p,112.62051463704653
639,r,-163.78515736971806
64,l+r+p,127.81293542872471
640,p+r,216.68763025793066
641,l+r*p,175.71876149569925
642,r,-26.999497551489874
643,l+r*p,190.83212107253675
644,l+r*p,136.79908204260943
645,p*r,-108.41350034536862
646,l+r+p,178.1120358046571
647,l+r*p,169.15967078538145
648,l+r+p,-35.31447421741316
649,p+r,175.05388827831226
65,l+r+p,166.78291914583204
650,p+r,144.50294056873736
651,p+r,-123.71631166024025
652,p*r,177.80846362842357
653,p*r,173.25136316477844
654,p+r,-9.808026342643437
655,p*r,214.19791851914064
656,l+r*p,173.41410389748032
657,p+r,-156.8898289619863
658,l+r+p,215.42014664519235
659,l+r*p,197.46791791819206
66,l+r*p,-46.656033957736646
660,l+r,-40.49898735673797
661,l+r*p,173.22886383515157
662,p*r,110.4973218655947
663,l+r+p,-113.36546504869936
664,p*r,150.4880162086055
665,p*r,173.87376317253393
666,l+r+p,-4.8938196394244144
667,l+r*p,180.99409667124587
668,l+r*p,137.93137165476222
669,p+r,-160.74242563385263
67,p*r,180.3378209736518
670,p*r,150.42120514079042
671,p*r,165.88142902990117
672,r,-31.997077963905106
673,l+r*p,222.70920222386272
674,l+r*p,129.71641057858167
675,p*r,-160.67016812901014
676,p,195.35525719244072
677,p+r,242.67180877374324
678,p+r,20.56875629293782
679,p*r,214.55667381877487
68,l+r*p,125.44943906412573
680,p+r,158.21173615287825
681,l+r*p,-201.09291670551255
682,l+r+p,223.30398354431583
683,p*r,209.58062250681954
684,p+r,20.269795455023946
685,p*r,140.21196860043898
686,l+r+p,115.64381518604978
687,r,-192.5996161517864
688,p+r,174.73214187244125
689,l+r*p,170.87281489821962
69,l*r+p,-328.5966537418555
690,l+r+p,-6.65812212398157
691,l+r+p,145.2132579466051
692,l*r+p,144.60140219509185
693,p*r,-187.80306131137712
694,p*r,158.73684149369325
695,p*r,185.78611448003423
696,l+r+p,-3.836679145449054
697,p*r,181.38915317264858
698,p+r,133.5458810495507
699,p+r,-168.16871405318435
7,p*r,155.0089379033704
70,p*r,158.95923870576888
700,l+r*p,179.2325512823284
701,l+r*p,175.01099261393105
702,l+r,-34.530666091086395
703,l+r*p,182.43447217660713
704,p*r,142.1564746051379
705,p+r,-121.92138686775758
706,p+r,179.00470623532922
707,l+r+p,179.25585655144778
708,l+r+p,-5.87868593443536
709,l+r*p,207.29156076176582
71,p+r,163.64578680656493
710,l+r+p,123.46350469388102
711,p+r,-67.57486892840905
712,l+r*p,203.79895620860242
713,l+r,200.15016430248707
714,l+r+p,36.50716111190128
72,l+r,-77.5420427941036
73,l+r*p,158.778678026779
74,l+r*p,117.25003552880693
75,p+r,-115.35859999981894
76,l+r*p,163.9545493222094
77,l+r+p,171.2679608807777
78,p+r,-24.894085673847883
79,l+r*p,160.26650529902886
8,l+r+p,136.71711289632756
80,p*r,122.4912132401064
81,l+r+p,-243.0343282506765
82,l+r*p,176.7276756608765
83,p*r,174.47282515221838
84,p+r,-10.994732406387637
85,l+r*p,179.2410481792888
86,p*r,117.28981006328249
87,p+r,-108.40579739534398
88,p+r,179.93146257411718
89,p*r,175.62123085869882
9,l+r+p,-169.6646316948787
90,l+r,-32.40438759673816
91,l+r*p,143.6754981804361
92,p+r,109.13876416383428
93,p+r,-163.18019171251336
94,p*r,142.59765331885907
95,l+r*p,144.74741247552876
96,p+r,-6.10800984193763
97,l+r*p,204.96964147259393
98,l+r*p,189.10396604800863
99,p*r,-74.91919276558556
