cid,composition,white_added,second_exception
69,l+p,False,False
69,l+r,True,False
69,p+r,False,False
69,l*r,True,True
69,l*p,False,False
69,p*r,False,False
69,l+r+p,False,False
69,l+r*p,False,False
69,l*r+p,True,True
69,l*p+r,True,True
69,l*r*p,True,True
70,l,False,False
70,p,False,False
70,r,False,False
70,l+p,False,False
70,l+r,False,False
70,p+r,False,False
70,l*r,False,False
70,l*p,False,False
70,p*r,False,False
70,l+r+p,False,False
70,l+r*p,False,False
70,l*r+p,True,False
70,l*p+r,False,False
70,l*r*p,True,False
71,l,False,False
71,p,True,False
71,r,False,False
71,l+p,True,False
71,l+r,True,False
71,p+r,False,False
71,l*r,True,False
71,l*p,False,False
71,p*r,True,True
71,l+r+p,True,False
71,l+r*p,True,False
71,l*r+p,False,False
71,l*p+r,True,False
71,l*r*p,True,False
72,l,False,False
72,p,False,False
72,r,False,False
72,l+p,False,False
72,l+r,False,False
72,p+r,False,False
72,l*r,True,True
72,l*p,True,False
72,p*r,False,False
72,l+r+p,False,False
72,l+r*p,False,False
72,l*r+p,True,True
72,l*p+r,False,False
72,l*r*p,False,False
73,l,False,False
73,p,False,False
73,r,False,False
73,l+p,False,False
73,l+r,False,False
73,p+r,False,False
73,l*r,False,False
73,l*p,False,False
73,p*r,False,False
73,l+r+p,True,False
73,l+r*p,False,False
73,l*r+p,True,False
73,l*p+r,False,False
73,l*r*p,False,False
74,l,False,False
74,p,False,False
74,r,False,False
74,l+p,False,False
74,l+r,False,False
74,p+r,False,False
74,l*r,False,False
74,l*p,False,False
74,p*r,False,False
74,l+r+p,True,False
74,l+r*p,False,False
74,l*r+p,False,False
74,l*p+r,False,False
74,l*r*p,False,False
75,l,False,False
75,p,False,False
75,r,True,False
75,l+p,True,False
75,l+r,False,False
75,p+r,True,False
75,l*r,False,False
75,l*p,False,False
75,p*r,True,False
75,l+r+p,False,False
75,l+r*p,False,False
75,l*r+p,False,False
75,l*p+r,True,False
75,l*r*p,False,False
76,l,False,False
76,p,False,False
76,r,False,False
76,l+p,False,False
76,l+r,False,False
76,p+r,False,False
76,l*r,False,False
76,l*p,False,False
76,p*r,False,False
76,l+r+p,False,False
76,l+r*p,False,False
76,l*r+p,True,False
76,l*p+r,False,False
76,l*r*p,True,False
77,l,False,False
77,p,True,False
77,r,False,False
77,l+p,False,False
77,l+r,True,False
77,p+r,False,False
77,l*r,True,False
77,l*p,False,False
77,p*r,True,True
77,l+r+p,False,False
77,l+r*p,False,False
77,l*r+p,False,False
77,l*p+r,True,True
77,l*r*p,True,True
78,l,False,False
78,p,False,False
78,r,False,False
78,l+p,False,False
78,l+r,True,False
78,p+r,False,False
78,l*r,True,False
78,l*p,False,False
78,p*r,False,False
78,l+r+p,False,False
78,l+r*p,False,False
78,l*r+p,False,False
78,l*p+r,False,False
78,l*r*p,True,True
79,l,False,False
79,p,False,False
79,r,False,False
79,l+p,False,False
79,l+r,True,False
79,p+r,False,False
79,l*r,True,False
79,l*p,True,False
79,p*r,False,False
79,l+r+p,False,False
79,l+r*p,False,False
79,l*r+p,False,False
79,l*p+r,True,False
79,l*r*p,False,False
80,l,False,False
80,p,True,False
80,r,False,False
80,l+p,True,False
80,l+r,False,False
80,p+r,True,False
80,l*r,False,False
80,l*p,True,False
80,p*r,True,True
80,l+r+p,False,False
80,l+r*p,True,False
80,l*r+p,False,False
80,l*p+r,False,False
80,l*r*p,True,True
81,l,False,False
81,p,False,False
81,r,False,False
81,l+p,False,False
81,l+r,False,False
81,p+r,False,False
81,l*r,True,False
81,l*p,False,False
81,p*r,False,False
81,l+r+p,False,False
81,l+r*p,True,False
81,l*r+p,False,False
81,l*p+r,False,False
81,l*r*p,False,False
82,l,False,False
82,p,False,False
82,r,False,False
82,l+p,False,False
82,l+r,False,False
82,p+r,False,False
82,l*r,False,False
82,l*p,True,False
82,p*r,False,False
82,l+r+p,False,False
82,l+r*p,False,False
82,l*r+p,False,False
82,l*p+r,False,False
82,l*r*p,True,True
83,l,False,False
83,p,True,False
83,r,False,False
83,l+p,True,False
83,l+r,False,False
83,p+r,False,False
83,l*r,True,False
83,l*p,False,False
83,p*r,True,False
83,l+r+p,False,False
83,l+r*p,False,False
83,l*r+p,True,False
83,l*p+r,True,True
83,l*r*p,False,False
84,l,False,False
84,p,False,False
84,r,False,False
84,l+p,True,False
84,l+r,False,False
84,p+r,False,False
84,l*r,True,False
84,l*p,False,False
84,p*r,False,False
84,l+r+p,True,False
84,l+r*p,True,False
84,l*r+p,True,False
84,l*p+r,False,False
84,l*r*p,True,False
85,l,False,False
85,p,False,False
85,r,False,False
85,l+p,False,False
85,l+r,True,False
85,p+r,False,False
85,l*r,True,False
85,l*p,False,False
85,p*r,True,True
85,l+r+p,False,False
85,l+r*p,False,False
85,l*r+p,True,False
85,l*p+r,False,False
85,l*r*p,True,True
86,l,False,False
86,p,False,False
86,r,False,False
86,l+p,False,False
86,l+r,True,False
86,p+r,False,False
86,l*r,True,False
86,l*p,False,False
86,p*r,True,True
86,l+r+p,True,False
86,l+r*p,True,False
86,l*r+p,False,False
86,l*p+r,True,True
86,l*r*p,True,True
87,l,False,False
87,p,False,False
87,r,True,False
87,l+p,False,False
87,l+r,False,False
87,p+r,True,False
87,l*r,True,True
87,l*p,False,False
87,p*r,False,False
87,l+r+p,True,True
87,l+r*p,True,True
87,l*r+p,True,False
87,l*p+r,True,False
87,l*r*p,True,True
88,l,False,False
88,p,False,False
88,r,False,False
88,l+p,False,False
88,l+r,True,False
88,p+r,False,False
88,l*r,False,False
88,l*p,False,False
88,p*r,True,False
88,l+r+p,True,False
88,l+r*p,False,False
88,l*r+p,False,False
88,l*p+r,True,False
88,l*r*p,False,False
89,l,False,False
89,p,False,False
89,r,False,False
89,l+p,False,False
89,l+r,True,False
89,p+r,False,False
89,l*r,True,False
89,l*p,False,False
89,p*r,True,False
89,l+r+p,True,False
89,l+r*p,True,True
89,l*r+p,False,False
89,l*p+r,True,False
89,l*r*p,True,False
90,l,False,False
90,p,False,False
90,r,False,False
90,l+p,False,False
90,l+r,False,False
90,p+r,False,False
90,l*r,True,True
90,l*p,True,False
90,p*r,False,False
90,l+r+p,False,False
90,l+r*p,False,False
90,l*r+p,False,False
90,l*p+r,True,False
90,l*r*p,True,True
91,l,False,False
91,p,False,False
91,r,False,False
91,l+p,False,False
91,l+r,True,False
91,p+r,False,False
91,l*r,False,False
91,l*p,True,True
91,p*r,False,False
91,l+r+p,True,False
91,l+r*p,True,False
91,l*r+p,False,False
91,l*p+r,False,False
91,l*r*p,False,False
92,l,False,False
92,p,False,False
92,r,False,False
92,l+p,False,False
92,l+r,True,False
92,p+r,True,False
92,l*r,True,False
92,l*p,True,True
92,p*r,True,True
92,l+r+p,True,False
92,l+r*p,True,True
92,l*r+p,False,False
92,l*p+r,True,False
92,l*r*p,True,False
93,l,False,False
93,p,False,False
93,r,False,False
93,l+p,True,False
93,l+r,True,False
93,p+r,False,False
93,l*r,True,True
93,l*p,True,False
93,p*r,False,False
93,l+r+p,False,False
93,l+r*p,True,False
93,l*r+p,True,True
93,l*p+r,False,False
93,l*r*p,True,True
94,l,False,False
94,p,False,False
94,r,False,False
94,l+p,False,False
94,l+r,False,False
94,p+r,False,False
94,l*r,True,False
94,l*p,True,False
94,p*r,False,False
94,l+r+p,False,False
94,l+r*p,True,False
94,l*r+p,False,False
94,l*p+r,True,False
94,l*r*p,False,False
95,l,False,False
95,p,False,False
95,r,False,False
95,l+p,False,False
95,l+r,True,False
95,p+r,False,False
95,l*r,True,False
95,l*p,True,True
95,p*r,True,False
95,l+r+p,False,False
95,l+r*p,True,False
95,l*r+p,False,False
95,l*p+r,True,False
95,l*r*p,True,True
96,l,False,False
96,p,True,False
96,r,False,False
96,l+p,False,False
96,l+r,True,False
